timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1748084260976,1543,Learner Progress,200,OK,Thread Group 1-6,text,true,,149212,787,10,10,https://www.khanacademy.org/logout?continue=%2Fprofile%2Fme%2F,1181,0,581
1748084261012,1559,Learner Progress,200,OK,Thread Group 1-7,text,true,,149212,786,10,10,https://www.khanacademy.org/logout?continue=%2Fprofile%2Fme%2F,1178,0,545
1748084261062,1653,Learner Progress,200,OK,Thread Group 1-10,text,true,,149212,787,10,10,https://www.khanacademy.org/logout?continue=%2Fprofile%2Fme%2F,1152,0,500
1748084261707,1172,Learner Progress,200,OK,Thread Group 1-2,text,true,,149212,788,10,10,https://www.khanacademy.org/logout?continue=%2Fprofile%2Fme%2F,1004,0,282
1748084264011,397,Logout,304,Not Modified,Thread Group 1-4,,true,,615,856,10,10,https://www.khanacademy.org/,0,0,0
1748084167985,8366,Test,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-4,,true,,711193,4597,10,10,null,6079,88056,2737
1748084264118,392,Logout,304,Not Modified,Thread Group 1-8,,true,,615,856,9,9,https://www.khanacademy.org/,0,0,0
1748084168385,8070,Test,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-8,,true,,710867,4597,9,9,null,5577,88055,2015
1748084264162,425,Logout,304,Not Modified,Thread Group 1-1,,true,,615,856,8,8,https://www.khanacademy.org/,0,0,0
1748084167687,8769,Test,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-1,,true,,710790,4597,8,8,null,6259,88131,2526
1748084264252,378,Logout,304,Not Modified,Thread Group 1-9,,true,,615,857,7,7,https://www.khanacademy.org/,0,0,0
1748084168485,8089,Test,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-9,,true,,712626,4601,7,7,null,5879,88056,2112
1748084264281,407,Logout,304,Not Modified,Thread Group 1-5,,true,,615,855,6,6,https://www.khanacademy.org/,0,0,0
1748084168086,8545,Test,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-5,,true,,711027,4593,6,6,null,6288,88056,2527
1748084265090,505,Logout,304,Not Modified,Thread Group 1-3,,true,,615,856,5,5,https://www.khanacademy.org/,0,0,0
1748084167886,9654,Test,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-3,,true,,711155,4597,5,5,null,7232,88055,3106
1748084265205,403,Logout,304,Not Modified,Thread Group 1-6,,true,,615,856,4,4,https://www.khanacademy.org/,0,0,0
1748084168184,9367,Test,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-6,,true,,711403,4597,4,4,null,6630,88057,2474
1748084265257,438,Logout,304,Not Modified,Thread Group 1-7,,true,,615,855,3,3,https://www.khanacademy.org/,0,0,0
1748084168287,9352,Test,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-7,,true,,712460,4593,3,3,null,6779,88055,2301
1748084265400,508,Logout,304,Not Modified,Thread Group 1-10,,true,,615,856,2,2,https://www.khanacademy.org/,0,0,0
1748084168586,9270,Test,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-10,,true,,711035,4597,2,2,null,6529,88052,2267
1748084265563,516,Logout,304,Not Modified,Thread Group 1-2,,true,,615,857,1,1,https://www.khanacademy.org/,0,0,0
1748084167784,10240,Test,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-2,,true,,710904,4601,1,1,null,7231,88055,1587
